month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,n_firms,manager_seats,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_total_vs_cf,variant,seed
75,1649,1496,888,4033,1337,24,74,74,14,67,23,0.3947023901431591,0.8314292518736157,161,443,0.5857875667050179,4952.121616751216,9028.402737977176,12390.917343580635,2.5021431827656846,2.0,0.21058558558558557,0.7381378692927484,0.8746475818694427,regime_tighten,0
76,1639,1518,901,4058,1296,28,89,89,15,61,28,0.41058844976622083,0.8459789770221765,161,442,0.5697802157915466,4927.36100866746,9008.512119596566,12377.476348496073,2.51198893824169,2.0,0.21198668146503885,0.7359676695105523,0.882557633753806,regime_tighten,0
77,1638,1536,908,4082,1253,23,76,76,15,48,30,0.42163973262235127,0.8510042725985657,163,449,0.5583814500748526,4902.724203624122,8993.574217282778,12370.612362613123,2.5232119631507506,2.0,0.21806167400881057,0.7299465240641712,0.8818319291423634,regime_tighten,0
78,1637,1555,921,4113,1189,23,76,76,16,40,44,0.4352531208576257,0.8617146925398746,164,446,0.5449471052962886,4878.2105826060015,8984.060783284149,12370.612362613123,2.535891420252011,2.0,0.2182410423452769,0.7308035714285714,0.8889129025286363,regime_tighten,0
79,1614,1563,929,4106,1163,20,70,70,16,74,46,0.4481690924860563,0.871458133285607,165,441,0.5323768264212614,4853.819529692972,8977.81100186969,12370.612362613123,2.5486345932181016,2.0,0.2271259418729817,0.7257194244604317,0.8949433304272014,regime_tighten,0
80,1592,1562,936,4090,1151,23,75,75,16,89,42,0.45372616011206185,0.8675495927879788,167,439,0.5265742765233494,4829.550432044507,8972.013483963721,12370.612362613123,2.5614418022292473,2.0,0.23504273504273504,0.7164716471647165,0.8926233085988651,regime_tighten,0
81,1569,1564,930,4063,1120,17,60,60,15,86,72,0.46240565080856216,0.8703561419150562,167,433,0.5178787611095892,4805.402679884284,8967.214500007183,12370.612362613123,2.5743133690746207,2.0,0.24301075268817204,0.7070752591257323,0.8876993663972034,regime_tighten,0
82,1565,1574,935,4074,1076,26,71,71,15,57,45,0.4716471573909823,0.8748021489177736,169,439,0.5087283789411412,4781.375666484862,8966.221047671906,12370.612362613123,2.587249617160423,2.0,0.2609625668449198,0.7036870503597122,0.8887434554973822,regime_tighten,0
83,1564,1591,947,4102,1004,25,82,82,15,49,54,0.4807667644078136,0.8795529324743815,171,443,0.4997938100080566,4757.468788152438,8966.221047671906,12370.612362613123,2.6002508715180133,2.0,0.2713833157338965,0.6997762863534676,0.8909643788010426,regime_tighten,0
84,1560,1594,948,4102,965,29,85,85,16,83,53,0.4892469626427197,0.8836498139626221,172,438,0.49134818884183196,4733.681444211676,8966.221047671906,12370.612362613123,2.6133174588120736,2.0,0.2911392405063291,0.7014388489208633,0.894266405057772,regime_tighten,0
85,1578,1617,969,4164,864,34,102,102,16,39,54,0.5011504572129785,0.8943551718015639,173,442,0.4798136679083769,4710.013036990617,8966.221047671906,12370.612362613123,2.6264497073488178,2.0,0.30340557275541796,0.7108108108108108,0.9109604025377379,regime_tighten,0
86,1533,1602,952,4087,912,24,72,72,15,143,38,0.5063281912147234,0.8935255443774169,174,432,0.4746159492769379,4686.462971805664,8966.221047671906,12370.612362613123,2.639647947084239,2.0,0.31092436974789917,0.6914749661705006,0.8931381118881119,regime_tighten,0
87,1517,1603,954,4074,901,16,63,63,15,73,36,0.5236477708308794,0.9144707699290866,172,426,0.4582329258970473,4663.030656946636,8966.221047671906,12370.612362613123,2.652912509632401,2.0,0.3018867924528302,0.6781403665623603,0.8822000866175834,regime_tighten,0
