anchor,eps,seed,month,junior,total
0.25,2.5,0,108,1.2902902902902902,1.7622970680881997
0.25,2.5,0,114,1.331799591002045,1.8152442032560434
0.25,2.5,0,120,1.3336628769154721,1.8311377245508982
0.25,2.5,0,126,1.3924703455389376,1.9134447493140434
0.25,2.5,0,132,1.4010335917312662,1.917685208281367
0.25,2.5,0,138,1.4106230847803882,1.9338453914767095
0.25,2.5,0,144,1.4224786753637733,1.9605647517039921
0.25,2.5,0,150,1.4475524475524475,1.9808901790033866
0.25,2.5,1,0,1.0,1.002239641657335
0.25,2.5,1,6,1.0131764705882353,1.0123203285420945
0.25,2.5,1,12,0.9929178470254958,0.9904131476831773
0.25,2.5,1,18,1.0155586987270155,1.0134549600912202
0.25,2.5,1,24,1.0039100684261975,1.0030754672344453
0.25,2.5,1,30,1.010521281683405,1.009244280101687
0.25,2.5,1,36,1.0181470869149951,1.0187413234613605
0.25,2.5,1,42,1.04150390625,1.040339702760085
0.25,2.5,1,48,1.079731027857829,1.0829653729955844
0.25,2.5,1,54,1.1482908040442947,1.1642590866728797
0.25,2.5,1,60,1.1370851370851371,1.2176949941792783
0.25,2.5,1,66,1.0625307730182176,1.30117028898973
0.25,2.5,1,72,0.966864490603363,1.363397129186603
0.25,2.5,1,78,0.9348249027237354,1.4185828249648054
0.25,2.5,1,84,1.0038891589693728,1.513424399434762
0.25,2.5,1,90,1.152337858220211,1.6536122597908052
0.25,2.5,1,96,1.2553296975706494,1.7166467065868263
0.25,2.5,1,102,1.278640776699029,1.7337875939849625
0.25,2.5,1,108,1.255215914604561,1.7107418675403698
0.25,2.5,1,114,1.3008248423095585,1.7784037558685446
0.25,2.5,1,120,1.4171907756813418,1.9426832361146336
0.25,2.5,1,126,1.4026436197254704,1.9258985721319548
0.25,2.5,1,132,1.4360020397756246,1.96875
0.25,2.5,1,138,1.425732737208147,1.9566682715454984
0.25,2.5,1,144,1.4149092692496321,1.9451957295373665
0.25,2.5,1,150,1.457703927492447,1.9961051606621227
0.35,0.5,0,0,1.011142061281337,1.0119235095613048
0.35,0.5,0,6,0.9981282171268133,1.0013633265167008
0.35,0.5,0,12,1.0245310245310246,1.022511023439313
0.35,0.5,0,18,0.9883232134516581,0.9861834654586636
0.35,0.5,0,24,0.9920037629350894,0.9922462941847207
0.35,0.5,0,30,0.9928977272727273,0.9878718535469108
0.35,0.5,0,36,0.977788061082832,0.9767233661593554
0.35,0.5,0,42,0.9454709328526363,0.9429193899782136
0.35,0.5,0,48,0.9056437389770723,0.9060029908139287
0.35,0.5,0,54,0.7900179856115108,0.8014354066985646
0.35,0.5,0,60,0.7741784037558685,0.8116897884921538
0.35,0.5,0,66,0.6837252189949286,0.7527964205816555
0.35,0.5,0,72,0.56757970363718,0.6542056074766355
0.35,0.5,0,78,0.5147321428571429,0.6202723146747352
0.35,0.5,0,84,0.4550359712230216,0.5683453237410072
0.35,0.5,0,90,0.4371859296482412,0.5617406671084604
0.35,0.5,0,96,0.41973010702652397,0.5517008335210632
0.35,0.5,0,102,0.4458983392048314,0.597953216374269
0.35,0.5,0,108,0.4034034034034034,0.5468863581293918
0.35,0.5,0,114,0.4125766871165644,0.5614208189442526
0.35,0.5,0,120,0.4018783984181908,0.5508982035928144
0.35,0.5,0,126,0.4198040226921093,0.5724619605886755
0.35,0.5,0,132,0.420671834625323,0.5717136443003242
0.35,0.5,0,138,0.42083758937691523,0.5780475718533201
0.35,0.5,0,144,0.42849974912192673,0.5861733203505355
0.35,0.5,0,150,0.44105894105894106,0.6018384131591679
0.35,0.5,1,0,1.0050761421319796,1.0094064949608064
0.35,0.5,1,6,0.9943529411764706,0.9936116814966918
0.35,0.5,1,12,0.993862134088763,0.991782698014152
0.35,0.5,1,18,1.0037718057520038,1.0029646522234892
0.35,0.5,1,24,1.0195503421309873,1.0177430801987224
0.35,0.5,1,30,0.9789574366331899,0.973884908712734
0.35,0.5,1,36,0.9503342884431709,0.9534937528921795
0.35,0.5,1,42,0.97998046875,0.9785326728001887
0.35,0.5,1,48,0.9538904899135446,0.9581687194980246
0.35,0.5,1,54,0.9142994703899856,0.9275396085740913
0.35,0.5,1,60,0.8321308321308322,0.8726426076833528
0.35,0.5,1,66,0.7336287543082225,0.809410078815381
0.35,0.5,1,72,0.6434223541048467,0.740909090909091
